,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
4836,Tt est Parfait!,10 octobre 2022,Utile,Titi of marseille,2 avis,FR,True,Showroomprive.com,"Bonjour,

Un grand merci pour votre avis !

Bonne journée de la part de toute l'équipe.

Cordialement,
L´équipe Showroomprivé",5
4837,Très bonne expérience,08 octobre 2022,Utile,Deborah Kalache,2 avis,FR,True,Showroomprive.com,"Bonjour Deborah,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Cordialement,
L´équipe Showroomprivé",5
4838,parfais,10 octobre 2022,"j'ai commander des couteaux de table ,ils sont parfais exactement ce que j'attendais solide ,beaux et très maniable",BOUTETES,4 avis,FR,True,Showroomprive.com,"Bonjour,

Nous vous remercions de votre confiance et fidélité.

Cordialement,
L´équipe Showroomprivé",5
4839,robe cop copine,08 octobre 2022,"ce vêtement répond à mes attentes tant au niveau matière, coupe que du rendu general.",FACINE,2 avis,FR,True,Showroomprive.com,"Bonjour Facine,

Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !

À très bientôt sur Showroomprivé.com

Cordialement,
L´équipe Showroomprivé",5
4840,J ai reçu un message que mon colis a…,10 octobre 2022,J ai reçu un message que mon colis a été livré mais ce m est pas le cas,Manuella,1 avis,FR,True,Showroomprive.com,"Bonjour Manuella,

Je suis sincèrement navré d'apprendre la non-réception de votre commande.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",1
4841,Comment effectuer facilement et reçu…,08 octobre 2022,Comment effectuer facilement et reçu par la poste à la date prévue bien emballé dans un petit carton,Valerie,1 avis,FR,True,Showroomprive.com,"Bonjour Valerie,

Nous vous remercions pour l'intérêt que vous portez à notre site.

Votre confiance et satisfaction sont nos priorités.

Cordialement,
L´équipe Showroomprivé",5
4842,Livraisonmoule muffin rapide malheureusement dans…,08 octobre 2022,Livraison rapide malheureusement dans un relais différent de ma commande obligé de traverser toute la ville c’est bien dommage produit de très bonne qualité,valérie,3 avis,FR,True,Showroomprive.com,"Bonjour Valérie,

Un grand merci pour votre avis !

Bonne journée de la part de toute l'équipe.

Cordialement,
L´équipe Showroomprivé",5
4843,Jamais déçue de mes achats,07 octobre 2022,Jamais déçue de mes achats sur showroom. Délais de livraison toujours respectés. Au top,Virginie,1 avis,FR,True,Showroomprive.com,"Bonjour Virginie,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Cordialement,
L´équipe Showroomprivé",5
4844,Bon plan,20 septembre 2022,Site bien conçu et ventes intéressantes. Service client de qualité.,Agnes,6 avis,FR,True,Showroomprive.com,"Bonjour Agnes,

Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt,
L´équipe Showroomprivé",5
4845,Colis reçu rapidement et correspond à…,08 octobre 2022,Colis reçu rapidement et correspond à mes attentes,patricia,2 avis,FR,True,Showroomprive.com,"Bonjour Patricia,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Cordialement,
L´équipe Showroomprivé",5
4846,Très satisfaite,08 octobre 2022,"Très satisfaite, commande livrée rapidement",SYLVIE B.,10 avis,FR,True,Showroomprive.com,"Bonjour Sylvie,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Cordialement,
L´équipe Showroomprivé",5
4847,Très satisfaite,10 octobre 2022,Utile,Carole,1 avis,FR,True,Showroomprive.com,"Bonjour Carole,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Cordialement,
L´équipe Showroomprivé",5
4848,Tout s’est bien déroulé.,01 octobre 2022,Utile,Bouchra,2 avis,FR,True,Showroomprive.com,"Bonjour Bouchra,

Un grand merci pour votre avis !

Bonne journée de la part de toute l'équipe.

Cordialement,
L´équipe Showroomprivé",5
4849,Très bon site,03 octobre 2022,"Produits intéressants, prix attractifs, délais de livraison raisonnables",HEISSER68,6 avis,FR,True,Showroomprive.com,"Bonjour ,

Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !

À très bientôt sur Showroomprivé.com

Cordialement,
L´équipe Showroomprivé",5
4850,Livraison reçue très vite super contente,10 octobre 2022,Utile,Cat,1 avis,FR,True,Showroomprive.com,"Bonjour,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Cordialement,
L´équipe Showroomprivé",5
4851,déçue,08 octobre 2022,frais de retours à payer contrairement aux autres enseignes en ligne.,Caroline,1 avis,FR,True,Showroomprive.com,"Bonjour Caroline,

Je fais suite à votre appréciation concernant les modalités de retour de vos commandes.

Je vous informe que, dans le cadre d'un retour 'Satisfait ou remboursé', les frais de retour sont à votre charge.

En effet, afin que Showroomprivé puisse proposer les meilleurs tarifs à l’ensemble de ses membres, les frais de retour ne sont pris en charge que lorsque le colis livré ne correspond pas à la commande initiale.

S’il en allait différemment, le prix unitaire de chaque article s’en verrait modifié.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Par ailleurs, je vous informe avoir remonté votre observation auprès de nos services.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
4852,Meuble dangereux SAV de mauvaise foi,14 juillet 2022,"J'ai acheté deux miroirs design collé à son cadre en bois.
Au bout de quelques mois le miroir se détaché de son cadre et se fracasse par terre. Il a cassé par la même occasion des décors et mis un trou dans mon parquet. Il était collé par un scotch double face au cadre par le fabricant. La qualité de montage du meuble étant médiocre (scotch) cela a engendré cette casse.
Meuble très dangereux.
J'invoque au moins la garantie sur le meuble. Showroom privé m'explique que la casse est en dehors de la garantie. Alors que le miroir s'est cassé parce que le montage au cadre est de mauvaise qualité à l'origine.
Edit : j'ai bien reçu votre réponse. Je n'ai pas eu le temps de vous donner le numéro de commande en 2 jours comme demandé par trustpilot.",Smile,12 avis,FR,True,Showroomprive.com,"Bonjour Smile,

Je fais suite à votre avis concernant le défaut présent sur votre article.

Nous vous présentons nos excuses pour ce désagrément.

Ayant à cœur votre satisfaction, nous vous informons qu'un e-mail vous a été adressé en privé afin de nous communiquer votre numéro de commande.

Nous sommes toujours dans l'attente d'un retour de votre part.

Au moindre retour, nous nous engageons à vous recontacter afin de faire suite à votre demande.

Dans cette attente, nous restons à votre disposition pour tout complément d'information.

Cordialement,
Ayoub",1
4853,Un peu decevant,10 octobre 2022,La qualité du tapis laisse un peu à desirer mais pour le prix il fera l'affaire,Audrey,1 avis,FR,True,Showroomprive.com,"Bonjour Audrey,

Je suis sincèrement navré d'apprendre que la qualité de votre tapis ne vous ait pas apporté entière satisfaction.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",3
4854,tout est parfait rien a dire,06 octobre 2022,Utile,GINETTE GILQUART,55 avis,BE,True,Showroomprive.com,"Bonjour Ginette,

Nous vous remercions de votre confiance et fidélité.

Cordialement,
L´équipe Showroomprivé",4
4855,Parfait !,08 octobre 2022,"Parfait !
Expédition rapide et produit très bien emballé.
Rien à dire :)",Deborah,19 avis,FR,True,Showroomprive.com,"Bonjour Deborah,

Nous vous remercions pour l'intérêt que vous portez à notre site.

Votre confiance et satisfaction sont nos priorités.

Cordialement,
L´équipe Showroomprivé",5
4856,Produit correspondant à la présentation…,03 octobre 2022,Produit correspondant à la présentation sur le site. Qualité/prix correct. Livraison effectuée avant la date prévue.,Dominique,1 avis,FR,True,Showroomprive.com,"Bonjour Dominique,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

Cordialement,
L´équipe Showroomprivé",5
4857,J'ai commandé un manteau pour la vente…,07 octobre 2022,"J'ai commandé un manteau pour la vente sinequanone, il taille trop grand !
Il ne tient pas la route, il est mal taillé !
Trop déçu",Saïda Chebel,3 avis,FR,True,Showroomprive.com,"Bonjour Saïda,

Je suis sincèrement désolé d'apprendre que vous ayez reçu votre manteau non conforme.

Je vous présente nos excuses pour ce désagrément.

Après vérification, je vous informe que votre réclamation a été prise en charge par nos services.

Un email vous a été adressé le 11/10/22 sur ce sujet.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
4858,SAV déplorable,11 novembre 2021,Utile,Benoit,1 avis,FR,True,Showroomprive.com,"Bonjour Benoit,

Je suis sincèrement désolé d'apprendre que votre expérience avec notre service client ne vous ait pas apporté satisfaction.

Je vous présente nos excuses pour ce désagrément.

Après vérification, je vous informe que votre réclamation a été prise en charge par nos services.

Une solution vous a été apportée par mail le 01/07/22 sur ce sujet.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,
Ayoub",1
4859,Envoi long et non complète…,10 octobre 2022,Utile,Fabrice,7 avis,FR,True,Showroomprive.com,"Bonjour Fabrice,

Je suis sincèrement navré d'apprendre que vous ayez reçu votre commande incomplète.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontacté aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",2
4860,Excellente qualité du produit livré tel…,07 octobre 2022,Excellente qualité du produit livré tel qu’indiqué,Nicole Lestarquit,6 avis,FR,True,Showroomprive.com,"Bonjour Nicole,

Un grand merci pour votre avis !

Bonne journée de la part de toute l'équipe.

Cordialement,
L´équipe Showroomprivé",5
4861,La livraison a été rapide mais le…,07 octobre 2022,La livraison a été rapide mais le produit ne correspondait pas à mes attentes.,Brice,1 avis,FR,True,Showroomprive.com,"Bonjour Brice,

Sachez que nos équipes travaillent quotidiennement afin de vous proposer une interface correspondant au plus proche de la demande de nos clients.

Des prochaines nouveautés sont à venir, cela devrait vous plaire :-)

Je vous souhaite une agréable journée,

Cordialement,
L´équipe Showroomprivé",4
4862,Livraison non conforme à ma commande,09 octobre 2022,Utile,Delphine H.,4 avis,FR,True,Showroomprive.com,"Bonjour Delphine,

Je suis sincèrement désolé d'apprendre que vous ayez reçu votre commande non conforme.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de faire suite à votre requête.

Ayoub",1
4863,Les articles ne vont pas et c’est…,07 octobre 2022,Les articles ne vont pas et c’est compliqué de trouver comment retourner et se faire rembourser,Mireille,2 avis,FR,True,Showroomprive.com,"Bonjour Mireille,

Je suis sincèrement navré d'apprendre que vous rencontrez des difficultés à effectuer le retour de vos articles.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Ayoub",1
4864,Satisfaite,07 octobre 2022,Satisfaite. Merci,France,2 avis,FR,True,Showroomprive.com,"Bonjour,

Nous vous remercions de votre confiance et fidélité.

Cordialement,
L'équipe Showroomprivé",5
4865,Commande reçue en avance,09 octobre 2022,"Commande reçue en avance ! Conforme à ce qui était présenté sur le site
Emballé avec toutes les précautions
C est top ! Merci !",OSTERNAUD Brigitte,7 avis,FR,True,Showroomprive.com,"Bonjour Brigitte,

Merci pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt,
L´équipe Showroomprivé",5
